--P,--R,--method,--metric,--hist-smooth,--blur,--ltp-threshold,--crop-seed,correct_matches,total,pct_correct,highest_correct,lowest_correct,highest_incorrect,lowest_incorrect,csv_file,results_json_file
8,1,ror,hellinger,1e-06,1.0,3,321,44,75,58.666666666666664,0.11006173776115191,0.038882897286309615,0.11024380648592427,0.05000862375742251,exp_8_1_ror_hellinger_1e-06_1.0_3_321.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_321_results.json
8,1,ror,hellinger,1e-06,1.0,3,123,39,75,52.0,0.1204948728905623,0.042150179367661265,0.11848156469650438,0.04740984550343282,exp_8_1_ror_hellinger_1e-06_1.0_3_123.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_123_results.json
8,1,ror,hellinger,1e-06,1.0,3,987,50,75,66.66666666666667,0.10542865177708885,0.038092768960985464,0.23413179697801506,0.04890353329435458,exp_8_1_ror_hellinger_1e-06_1.0_3_987.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_987_results.json
8,1,ror,hellinger,1e-06,1.0,3,876,26,75,34.666666666666664,0.08887592864328554,0.05589900868298739,0.12473849302197282,0.045545352032310187,exp_8_1_ror_hellinger_1e-06_1.0_3_876.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_876_results.json
8,1,ror,hellinger,1e-06,1.0,3,765,35,75,46.666666666666664,0.11637116266434884,0.049591718191758755,0.10613301920275146,0.01925378724334241,exp_8_1_ror_hellinger_1e-06_1.0_3_765.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_765_results.json
8,1,ror,hellinger,1e-06,1.0,3,4321,34,75,45.333333333333336,0.10815145124129061,0.04752327790377064,0.1481471051095721,0.043978381788727,exp_8_1_ror_hellinger_1e-06_1.0_3_4321.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_4321_results.json
8,1,ror,hellinger,1e-06,1.0,3,5432,34,75,45.333333333333336,0.13468272005621224,0.046554493815868264,0.1820586015683696,0.04357602199543417,exp_8_1_ror_hellinger_1e-06_1.0_3_5432.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_5432_results.json
8,1,ror,hellinger,1e-06,1.0,3,6789,39,75,52.0,0.11338834984872934,0.03781548768658704,0.09682550577151003,0.05082016940157166,exp_8_1_ror_hellinger_1e-06_1.0_3_6789.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_6789_results.json
8,1,ror,hellinger,1e-06,1.0,3,7890,39,75,52.0,0.11281201228358595,0.04246393652198724,0.10487913809737504,0.04481923553001667,exp_8_1_ror_hellinger_1e-06_1.0_3_7890.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_7890_results.json
8,1,ror,hellinger,1e-06,1.0,3,13579,38,75,50.666666666666664,0.1319038627886807,0.04509933720420963,0.1719425862837477,0.04754529737461019,exp_8_1_ror_hellinger_1e-06_1.0_3_13579.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_13579_results.json
8,1,ror,hellinger,1e-06,1.0,3,24680,41,75,54.666666666666664,0.11112411911980678,0.022753487713284035,0.11064667431187869,0.042392827454325197,exp_8_1_ror_hellinger_1e-06_1.0_3_24680.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_24680_results.json
8,1,ror,hellinger,1e-06,1.0,3,11223,46,75,61.333333333333336,0.1064691172146942,0.041853741314405904,0.3051393091598139,0.049162028130305215,exp_8_1_ror_hellinger_1e-06_1.0_3_11223.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_11223_results.json
8,1,ror,hellinger,1e-06,1.0,3,44556,38,75,50.666666666666664,0.16421571056018744,0.044778437348267516,0.10756921817536104,0.047947611022949144,exp_8_1_ror_hellinger_1e-06_1.0_3_44556.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_44556_results.json
8,1,ror,hellinger,1e-06,1.0,3,77889,35,75,46.666666666666664,0.1074943689992933,0.04763063782472877,0.12195474630612163,0.048903877662799494,exp_8_1_ror_hellinger_1e-06_1.0_3_77889.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_77889_results.json
8,1,ror,hellinger,1e-06,1.0,3,99887,36,75,48.0,0.13421680325298618,0.04461923642368127,0.12293772262655943,0.04378524845204026,exp_8_1_ror_hellinger_1e-06_1.0_3_99887.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_99887_results.json
8,1,ror,hellinger,1e-06,1.0,3,77665,35,75,46.666666666666664,0.12100241254496223,0.0458581387414734,0.1029109402921558,0.04391414705607198,exp_8_1_ror_hellinger_1e-06_1.0_3_77665.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_77665_results.json
8,1,ror,hellinger,1e-06,1.0,3,55443,39,75,52.0,0.10302505501154288,0.028123884467661068,0.10553434355259134,0.04790797009326416,exp_8_1_ror_hellinger_1e-06_1.0_3_55443.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_55443_results.json
8,1,ror,hellinger,1e-06,1.0,3,33221,33,75,44.0,0.08780915135467225,0.04714295806109756,0.2371875154782822,0.05061743198051122,exp_8_1_ror_hellinger_1e-06_1.0_3_33221.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_33221_results.json
8,1,ror,hellinger,1e-06,1.0,3,11009,32,75,42.666666666666664,0.08133082206669714,0.051297370864143155,0.15919036954870655,0.04338023065883504,exp_8_1_ror_hellinger_1e-06_1.0_3_11009.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_11009_results.json
8,1,ror,hellinger,1e-06,1.0,3,9999,34,75,45.333333333333336,0.10195244033065809,0.04251598645703095,0.12409096817259337,0.04496457860718863,exp_8_1_ror_hellinger_1e-06_1.0_3_9999.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_9999_results.json
8,1,ror,hellinger,1e-06,1.0,3,8888,31,75,41.333333333333336,0.11253324756612787,0.046542867532581536,0.09494994634963883,0.0362991496694109,exp_8_1_ror_hellinger_1e-06_1.0_3_8888.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_8888_results.json
8,1,ror,hellinger,1e-06,1.0,3,7777,33,75,44.0,0.11771127943914252,0.05218446588418069,0.23956636729659786,0.04102031671832301,exp_8_1_ror_hellinger_1e-06_1.0_3_7777.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_7777_results.json
8,1,ror,hellinger,1e-06,1.0,3,6666,39,75,52.0,0.10761618470372213,0.04658423319493328,0.09533094540246433,0.04475086862333837,exp_8_1_ror_hellinger_1e-06_1.0_3_6666.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_6666_results.json
8,1,ror,hellinger,1e-06,1.0,3,5555,43,75,57.333333333333336,0.10758571634858084,0.047220310396277804,0.1430760925894694,0.05293063870437539,exp_8_1_ror_hellinger_1e-06_1.0_3_5555.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_5555_results.json
8,1,ror,hellinger,1e-06,1.0,3,4444,26,75,34.666666666666664,0.12352590629181043,0.039748151285409275,0.15945737500528806,0.039673169990869527,exp_8_1_ror_hellinger_1e-06_1.0_3_4444.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_4444_results.json
8,1,ror,hellinger,1e-06,1.0,3,3333,37,75,49.333333333333336,0.13075645925965185,0.04351328163010161,0.10021956275836119,0.04807606427631969,exp_8_1_ror_hellinger_1e-06_1.0_3_3333.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_3333_results.json
8,1,ror,hellinger,1e-06,1.0,3,2222,33,75,44.0,0.09874279989144344,0.03331462102253002,0.12562191843658346,0.04939530524573006,exp_8_1_ror_hellinger_1e-06_1.0_3_2222.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_2222_results.json
8,1,ror,hellinger,1e-06,1.0,3,1111,37,75,49.333333333333336,0.10908046494854784,0.04245968382385011,0.1006326913254699,0.05010819744610059,exp_8_1_ror_hellinger_1e-06_1.0_3_1111.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_1111_results.json
8,1,ror,hellinger,1e-06,1.0,3,1234,30,75,40.0,0.10249134768317424,0.05025089903662412,0.2760469983571578,0.047169658345806935,exp_8_1_ror_hellinger_1e-06_1.0_3_1234.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_1234_results.json
8,1,ror,hellinger,1e-06,1.0,3,4321,34,75,45.333333333333336,0.10815145124129061,0.04752327790377064,0.1481471051095721,0.043978381788727,exp_8_1_ror_hellinger_1e-06_1.0_3_4321.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_4321_results.json
8,1,ror,hellinger,1e-06,1.0,3,5678,37,75,49.333333333333336,0.0936168280506425,0.0480649069038881,0.1279806909852254,0.044386105370206506,exp_8_1_ror_hellinger_1e-06_1.0_3_5678.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_5678_results.json
8,1,ror,hellinger,1e-06,1.0,3,8765,34,75,45.333333333333336,0.10559873296405396,0.04260591279190455,0.10176233010221761,0.04194019519925578,exp_8_1_ror_hellinger_1e-06_1.0_3_8765.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_8765_results.json
8,1,ror,hellinger,1e-06,1.0,3,1357,30,75,40.0,0.09961388548486415,0.04622325829472347,0.12333574922895585,0.04192943540773424,exp_8_1_ror_hellinger_1e-06_1.0_3_1357.csv,exp_8_1_ror_hellinger_1e-06_1.0_3_1357_results.json
